TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 10:54:34,song_thrush_observed.csv,0.5247831278027454754723034687,0.777,1.235,1.478,0.064,0.746,0.37,4.1,11.55,10.79,4.099,2.078,2.174,1.983,4.820,4.499,5.141,0.072,10.01,12.691,13.140,12.242,1.032
2026-05-06 10:54:34,song_thrush_observed.csv,1.565959655335409432398228061,0.727,1.514,1.03,0.068,0.69,0.322,3.82,11.86,9.91,5.51,16.453,14.152,18.754,4.308,5.534,3.082,0.173,9.84,8.238,6.549,9.927,1.666
2026-05-06 10:54:35,song_thrush_observed.csv,1.836614139818095302500187846,0.378,2.389,1.195,0.036,0.001,0.099,1.63,10.74,9.79,6.184,7.273,1.836,12.71,6.226,7.682,4.771,0.119,8.45,10.612,12.085,9.138,1.709
2026-05-06 10:54:35,song_thrush_observed.csv,1.069521550969462756924268985,0.496,1.136,4.478,0.016,0.712,0.41,3.3,11.61,7.09,2.75,14.402,17.063,11.742,9.585,11.426,7.744,0.088,9.93,1.602,1.405,1.798,1.755
2026-05-06 10:54:35,song_thrush_observed.csv,1.007061553159754210042782007,0.662,1.378,2.495,0.023,0.353,0.434,3.75,10.54,9.73,4.709,9.358,1.783,16.932,9.772,10.718,8.826,0.14,7.9,6.398,6.345,6.452,1.179
2026-05-06 10:54:36,song_thrush_observed.csv,1.452877604937385790848174167,0.843,2.178,2.842,0.085,0.033,0.005,3.42,11.53,9.69,6.298,18.000,17.668,18.333,9.333,13.331,5.335,0.09,9.48,7.276,2.753,11.798,1.782
2026-05-06 10:54:36,song_thrush_observed.csv,1.111320541944581266593937024,0.774,3.284,3.992,0.054,0.63,0.343,3.97,1.28,8.15,5.488,11.605,10.176,13.034,6.682,6.485,6.878,0.105,9.28,7.020,10.198,3.841,1.259
2026-05-06 10:54:36,song_thrush_observed.csv,2.023229017618546840214061782,0.921,1.824,5.461,0.031,0.028,0.337,2.21,10.76,9.54,7.549,14.019,12.379,15.659,10.968,8.102,13.834,0.202,8.99,7.723,3.621,11.825,1.639
2026-05-06 10:54:36,song_thrush_observed.csv,0.8007528121022724777128210224,0.737,2.793,4.995,0.056,0.673,0.204,2.67,11.15,8.75,1.384,1.949,2.035,1.863,9.626,11.249,8.002,0.088,8.12,8.440,8.153,8.727,0.863
2026-05-06 10:54:37,song_thrush_observed.csv,1.196952626722303505713543595,0.472,2.112,5.871,0.039,0.669,0.412,3.08,11.66,7.39,7.869,16.048,15.457,16.64,4.190,1.509,6.872,0.211,8.15,12.300,13.21,11.391,1.179
2026-05-06 10:54:37,song_thrush_observed.csv,0.8072034371375113480830305973,0.376,1.17,4.705,0.08,0.309,0.136,2.43,11.13,6.5,5.623,9.922,18.454,1.389,1.760,2.034,1.486,0.222,9.69,6.886,9.1,4.673,1.609
2026-05-06 10:54:37,song_thrush_observed.csv,1.322293893596292494099105880,0.454,3.184,4.62,0.028,0.744,0.335,3.71,11.09,9.69,0.653,14.634,12.855,16.413,7.590,6.085,9.096,0.128,7.58,7.196,4.401,9.99,1.579
2026-05-06 10:54:38,song_thrush_observed.csv,1.582582664882475645256148985,0.915,3.779,4.184,0.025,0.384,0.263,1.77,11.41,8.6,4.929,4.639,1.986,7.292,7.082,1.649,12.515,0.248,9.0,5.416,4.969,5.863,0.977
2026-05-06 10:54:38,song_thrush_observed.csv,1.175305105564260778537331464,0.854,0.737,5.834,0.057,0.313,0.414,3.23,10.69,7.99,3.597,3.348,2.0,4.695,5.265,8.134,2.396,0.108,7.58,4.178,1.132,7.223,1.791
2026-05-06 10:54:38,song_thrush_observed.csv,1.660387793320445992641775051,0.879,2.597,3.627,0.057,0.025,0.443,3.8,10.63,7.16,3.664,13.442,7.291,19.592,10.742,10.975,10.508,0.198,9.78,3.834,7.139,0.528,1.537
2026-05-06 10:54:38,song_thrush_observed.csv,1.507100608670620865868459170,0.605,2.149,1.704,0.007,0.26,0.015,2.55,11.19,10.69,4.263,3.834,5.894,1.775,5.124,8.787,1.462,0.146,9.96,7.316,6.949,7.683,1.589
2026-05-06 10:54:39,song_thrush_observed.csv,2.301487040794561860475548709,0.509,0.856,0.906,0.023,0.724,0.407,2.05,11.13,6.69,6.677,10.037,9.614,10.46,7.454,1.775,13.134,0.113,9.14,6.376,6.221,6.531,1.553
2026-05-06 10:54:39,song_thrush_observed.csv,1.343066738647281281538323033,0.738,3.767,3.597,0.085,0.169,0.429,1.74,11.51,9.32,7.761,12.370,17.02,7.72,7.232,11.196,3.269,0.096,9.21,2.874,3.273,2.475,1.039
2026-05-06 10:54:39,song_thrush_observed.csv,1.386253356805187895117827074,0.82,3.537,4.649,0.043,0.572,0.225,2.3,11.32,9.12,5.637,12.569,11.222,13.916,3.297,6.13,0.464,0.093,9.52,3.490,1.601,5.378,1.409
2026-05-06 10:54:40,song_thrush_observed.csv,2.072602737824545448045704836,0.437,1.537,1.333,0.02,0.245,0.142,2.64,11.86,8.64,4.761,15.778,13.444,18.112,4.247,7.18,1.314,0.238,7.61,6.103,8.661,3.545,1.765
2026-05-06 10:54:40,song_thrush_observed.csv,0.8330122641824255783562108251,0.596,2.811,1.098,0.07,0.326,0.381,4.29,10.96,8.23,7.902,13.697,13.719,13.675,2.453,0.787,4.119,0.154,9.07,10.848,7.731,13.964,1.129
