TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 18:01:04,robin_observed.csv,0.5432670534740006659037465330,1.122,0.334,2.363,0.286,1.072,0.023,1.41,11.05,3.672,3.685,0.282,7.64,1.827,1.333
2026-05-05 18:01:04,robin_observed.csv,0.6517589643735496760532254345,1.681,0.892,2.079,0.163,1.155,0.202,1.23,1.26,4.345,1.323,0.202,8.48,2.86,0.96
2026-05-05 18:01:05,robin_observed.csv,0.5339108211467629474403597567,1.623,0.378,0.646,0.418,0.476,0.306,1.36,1.0,4.17,1.36,0.185,7.28,1.351,1.112
2026-05-05 18:01:05,robin_observed.csv,0.4051978602641178122976654630,0.999,0.804,0.514,0.478,0.94,0.291,11.94,11.33,3.62,4.33,0.329,8.21,3.454,1.102
2026-05-05 18:01:05,robin_observed.csv,0.3629921978831556742605450584,0.628,1.213,1.14,0.112,1.198,0.093,2.42,10.86,1.771,1.267,0.264,5.73,1.539,1.292
2026-05-05 18:01:05,robin_observed.csv,0.5756032322952706121922807106,0.636,1.359,1.384,0.223,0.929,0.049,11.8,10.98,3.922,4.178,0.149,8.25,3.696,1.632
2026-05-05 18:01:06,robin_observed.csv,0.3547692069241202368346962541,1.364,1.239,1.865,0.357,0.514,0.219,2.09,11.89,1.912,4.693,0.208,7.5,1.888,1.491
2026-05-05 18:01:06,robin_observed.csv,0.7476556092989946404336150265,1.453,0.194,1.474,0.277,0.205,0.184,1.71,11.1,0.847,5.838,0.01,7.73,4.864,1.641
2026-05-05 18:01:06,robin_observed.csv,0.3206128398895050401672563834,1.311,0.815,1.387,0.465,0.181,0.122,1.59,10.68,1.086,3.216,0.304,6.5,2.097,1.717
2026-05-05 18:01:07,robin_observed.csv,0.6965340049299875259300896092,1.639,1.302,1.484,0.14,0.937,0.012,2.48,11.35,2.645,3.648,0.09,6.16,3.698,0.97
2026-05-05 18:01:07,robin_observed.csv,0.5722149257394859248817465340,1.363,0.559,1.03,0.329,0.583,0.091,1.16,11.19,3.537,5.667,0.204,7.06,1.269,1.201
2026-05-05 18:01:07,robin_observed.csv,0.4760994418368345166354060218,0.922,0.283,1.867,0.558,1.093,0.213,1.14,11.11,2.034,4.771,0.147,6.14,2.994,0.93
2026-05-05 18:01:08,robin_observed.csv,0.5895542983182270333693986442,0.433,0.652,1.614,0.132,0.078,0.302,11.75,11.97,4.54,2.866,0.218,8.21,4.986,1.773
2026-05-05 18:01:08,robin_observed.csv,0.7324396389318280094527764148,0.819,1.021,0.874,0.121,0.096,0.121,11.75,1.46,0.935,4.888,0.224,5.86,3.491,0.905
2026-05-05 18:01:08,robin_observed.csv,0.3226838365897182612913262704,0.983,1.176,1.637,0.11,0.557,0.294,1.47,11.77,0.842,2.703,0.104,6.98,3.03,0.912
